regiontype,regionid,regionparent
zip5,00176,001
zip5,00177,001
zip5,00179,001
zip5,00180,001
zip5,00181,001
zip5,00182,001
zip5,00183,001
zip5,00184,001
zip5,00185,001
zip5,00188,001
zip5,00195,001
zip5,00197,001
zip5,00198,001
zip5,00199,001
zip5,01001,010
zip5,01002,010
zip5,01003,010
zip5,01005,010
zip5,01007,010
zip5,01008,010
zip5,01010,010
zip5,01011,010
zip5,01012,010
zip5,01013,010
zip5,01020,010
zip5,01022,010
zip5,01026,010
zip5,01027,010
zip5,01028,010
zip5,01030,010
zip5,01031,010
zip5,01032,010
zip5,01033,010
zip5,01034,010
zip5,01035,010
zip5,01036,010
zip5,01038,010
zip5,01039,010
zip5,01040,010
zip5,01050,010
zip5,01053,010
zip5,01054,010
zip5,01056,010
zip5,01057,010
zip5,01060,010
zip5,01062,010
zip5,01063,010
zip5,01068,010
zip5,01069,010
zip5,01070,010
zip5,01071,010
zip5,01072,010
zip5,01073,010
zip5,01075,010
zip5,01077,010
zip5,01080,010
zip5,01081,010
zip5,01082,010
zip5,01084,010
zip5,01085,010
zip5,01088,010
zip5,01089,010
zip5,01092,010
zip5,01095,010
zip5,01096,010
zip5,01098,010
zip5,01103,011
zip5,01104,011
zip5,01105,011
zip5,01106,011
zip5,01107,011
zip5,01108,011
zip5,01109,011
zip5,01118,011
zip5,01119,011
zip5,01128,011
zip5,01129,011
zip5,01151,011
zip5,01201,012
zip5,01220,012
zip5,01222,012
zip5,01223,012
zip5,01224,012
zip5,01225,012
zip5,01226,012
zip5,01230,012
zip5,01235,012
zip5,01236,012
zip5,01237,012
zip5,01238,012
zip5,01240,012
zip5,01243,012
zip5,01245,012
zip5,01247,012
zip5,01253,012
zip5,01254,012
zip5,01255,012
zip5,01256,012
zip5,01257,012
zip5,01258,012
zip5,01259,012
zip5,01262,012
zip5,01266,012
zip5,01267,012
zip5,01270,012
zip5,01301,013
zip5,01330,013
zip5,01331,013
zip5,01337,013
zip5,01338,013
zip5,01339,013
zip5,01340,013
zip5,01341,013
zip5,01342,013
zip5,01343,013
zip5,01344,013
zip5,01346,013
zip5,01349,013
zip5,01350,013
zip5,01351,013
zip5,01354,013
zip5,01355,013
zip5,01360,013
zip5,01364,013
zip5,01366,013
zip5,01367,013
zip5,01368,013
zip5,01370,013
zip5,01373,013
zip5,01375,013
zip5,01376,013
zip5,01378,013
zip5,01379,013
zip5,01420,014
zip5,01430,014
zip5,01431,014
zip5,01432,014
zip5,01434,014
zip5,01436,014
zip5,01440,014
zip5,01450,014
zip5,01451,014
zip5,01452,014
zip5,01453,014
zip5,01460,014
zip5,01462,014
zip5,01463,014
zip5,01464,014
zip5,01468,014
zip5,01469,014
zip5,01473,014
zip5,01474,014
zip5,01475,014
zip5,01501,015
zip5,01503,015
zip5,01504,015
zip5,01505,015
zip5,01506,015
zip5,01507,015
zip5,01510,015
zip5,01515,015
zip5,01516,015
zip5,01518,015
zip5,01519,015
zip5,01520,015
zip5,01521,015
zip5,01522,015
zip5,01523,015
zip5,01524,015
zip5,01527,015
zip5,01529,015
zip5,01531,015
zip5,01532,015
zip5,01534,015
zip5,01535,015
zip5,01536,015
zip5,01537,015
zip5,01540,015
zip5,01541,015
zip5,01542,015
zip5,01543,015
zip5,01545,015
zip5,01550,015
zip5,01560,015
zip5,01562,015
zip5,01564,015
zip5,01566,015
zip5,01568,015
zip5,01569,015
zip5,01570,015
zip5,01571,015
zip5,01581,015
zip5,01583,015
zip5,01585,015
zip5,01588,015
zip5,01590,015
zip5,01602,016
zip5,01603,016
zip5,01604,016
zip5,01605,016
zip5,01606,016
zip5,01607,016
zip5,01608,016
zip5,01609,016
zip5,01610,016
zip5,01611,016
zip5,01612,016
zip5,01701,017
zip5,01702,017
zip5,01718,017
zip5,01719,017
zip5,01720,017
zip5,01721,017
zip5,01730,017
zip5,01731,017
zip5,01740,017
zip5,01741,017
zip5,01742,017
zip5,01745,017
zip5,01746,017
zip5,01747,017
zip5,01748,017
zip5,01749,017
zip5,01752,017
zip5,01754,017
zip5,01756,017
zip5,01757,017
zip5,01760,017
zip5,01770,017
zip5,01772,017
zip5,01773,017
zip5,01775,017
zip5,01776,017
zip5,01778,017
zip5,01801,018
zip5,01803,018
zip5,01810,018
zip5,01821,018
zip5,01824,018
zip5,01826,018
zip5,01827,018
zip5,01830,018
zip5,01832,018
zip5,01833,018
zip5,01834,018
zip5,01835,018
zip5,01840,018
zip5,01841,018
zip5,01843,018
zip5,01844,018
zip5,01845,018
zip5,01850,018
zip5,01851,018
zip5,01852,018
zip5,01854,018
zip5,01860,018
zip5,01862,018
zip5,01863,018
zip5,01864,018
zip5,01867,018
zip5,01876,018
zip5,01879,018
zip5,01880,018
zip5,01886,018
zip5,01887,018
zip5,01890,018
zip5,01901,019
zip5,01902,019
zip5,01904,019
zip5,01905,019
zip5,01906,019
zip5,01907,019
zip5,01908,019
zip5,01913,019
zip5,01915,019
zip5,01921,019
zip5,01922,019
zip5,01923,019
zip5,01929,019
zip5,01930,019
zip5,01938,019
zip5,01940,019
zip5,01944,019
zip5,01945,019
zip5,01949,019
zip5,01950,019
zip5,01951,019
zip5,01952,019
zip5,01960,019
zip5,01966,019
zip5,01969,019
zip5,01970,019
zip5,01982,019
zip5,01983,019
zip5,01984,019
zip5,01985,019
zip5,02019,020
zip5,02021,020
zip5,02025,020
zip5,02026,020
zip5,02030,020
zip5,02032,020
zip5,02035,020
zip5,02038,020
zip5,02043,020
zip5,02045,020
zip5,02048,020
zip5,02050,020
zip5,02052,020
zip5,02053,020
zip5,02054,020
zip5,02056,020
zip5,02061,020
zip5,02062,020
zip5,02066,020
zip5,02067,020
zip5,02071,020
zip5,02072,020
zip5,02081,020
zip5,02090,020
zip5,02093,020
zip5,02108,021
zip5,02109,021
zip5,02110,021
zip5,02111,021
zip5,02113,021
zip5,02114,021
zip5,02115,021
zip5,02116,021
zip5,02118,021
zip5,02119,021
zip5,02120,021
zip5,02121,021
zip5,02122,021
zip5,02124,021
zip5,02125,021
zip5,02126,021
zip5,02127,021
zip5,02128,021
zip5,02129,021
zip5,02130,021
zip5,02131,021
zip5,02132,021
zip5,02134,021
zip5,02135,021
zip5,02136,021
zip5,02138,021
zip5,02139,021
zip5,02140,021
zip5,02141,021
zip5,02142,021
zip5,02143,021
zip5,02144,021
zip5,02145,021
zip5,02148,021
zip5,02149,021
zip5,02150,021
zip5,02151,021
zip5,02152,021
zip5,02153,021
zip5,02155,021
zip5,02163,021
zip5,02169,021
zip5,02170,021
zip5,02171,021
zip5,02176,021
zip5,02180,021
zip5,02184,021
zip5,02186,021
zip5,02188,021
zip5,02189,021
zip5,02190,021
zip5,02191,021
zip5,02199,021
zip5,02210,022
zip5,02215,022
zip5,02301,023
zip5,02302,023
zip5,02322,023
zip5,02324,023
zip5,02325,023
zip5,02330,023
zip5,02332,023
zip5,02333,023
zip5,02338,023
zip5,02339,023
zip5,02341,023
zip5,02343,023
zip5,02346,023
zip5,02347,023
zip5,02351,023
zip5,02356,023
zip5,02357,023
zip5,02359,023
zip5,02360,023
zip5,02364,023
zip5,02367,023
zip5,02368,023
zip5,02370,023
zip5,02375,023
zip5,02379,023
zip5,02382,023
zip5,02420,024
zip5,02421,024
zip5,02445,024
zip5,02446,024
zip5,02451,024
zip5,02452,024
zip5,02453,024
zip5,02458,024
zip5,02459,024
zip5,02460,024
zip5,02461,024
zip5,02462,024
zip5,02464,024
zip5,02465,024
zip5,02466,024
zip5,02467,024
zip5,02468,024
zip5,02472,024
zip5,02474,024
zip5,02476,024
zip5,02478,024
zip5,02481,024
zip5,02482,024
zip5,02492,024
zip5,02493,024
zip5,02494,024
zip5,02532,025
zip5,02535,025
zip5,02536,025
zip5,02537,025
zip5,02538,025
zip5,02539,025
zip5,02540,025
zip5,02542,025
zip5,02543,025
zip5,02554,025
zip5,02556,025
zip5,02559,025
zip5,02562,025
zip5,02563,025
zip5,02568,025
zip5,02571,025
zip5,02575,025
zip5,02576,025
zip5,02601,026
zip5,02630,026
zip5,02631,026
zip5,02632,026
zip5,02633,026
zip5,02635,026
zip5,02638,026
zip5,02639,026
zip5,02642,026
zip5,02644,026
zip5,02645,026
zip5,02646,026
zip5,02648,026
zip5,02649,026
zip5,02650,026
zip5,02652,026
zip5,02653,026
zip5,02655,026
zip5,02657,026
zip5,02659,026
zip5,02660,026
zip5,02664,026
zip5,02666,026
zip5,02667,026
zip5,02668,026
zip5,02670,026
zip5,02671,026
zip5,02673,026
zip5,02675,026
zip5,02702,027
zip5,02703,027
zip5,02713,027
zip5,02715,027
zip5,02717,027
zip5,02718,027
zip5,02719,027
zip5,02720,027
zip5,02721,027
zip5,02723,027
zip5,02724,027
zip5,02725,027
zip5,02726,027
zip5,02738,027
zip5,02739,027
zip5,02740,027
zip5,02743,027
zip5,02744,027
zip5,02745,027
zip5,02746,027
zip5,02747,027
zip5,02748,027
zip5,02760,027
zip5,02762,027
zip5,02763,027
zip5,02764,027
zip5,02766,027
zip5,02767,027
zip5,02769,027
zip5,02770,027
zip5,02771,027
zip5,02777,027
zip5,02779,027
zip5,02780,027
zip5,02790,027
zip5,02804,028
zip5,02806,028
zip5,02807,028
zip5,02808,028
zip5,02809,028
zip5,02812,028
zip5,02813,028
zip5,02814,028
zip5,02815,028
zip5,02816,028
zip5,02817,028
zip5,02818,028
zip5,02822,028
zip5,02825,028
zip5,02827,028
zip5,02828,028
zip5,02830,028
zip5,02831,028
zip5,02832,028
zip5,02833,028
zip5,02835,028
zip5,02836,028
zip5,02837,028
zip5,02838,028
zip5,02839,028
zip5,02840,028
zip5,02841,028
zip5,02842,028
zip5,02852,028
zip5,02857,028
zip5,02858,028
zip5,02859,028
zip5,02860,028
zip5,02861,028
zip5,02863,028
zip5,02864,028
zip5,02865,028
zip5,02871,028
zip5,02872,028
zip5,02874,028
zip5,02877,028
zip5,02878,028
zip5,02879,028
zip5,02881,028
