regionname,regiontype,regionlongitude,regionlatitude
701,zip3,-89.916866,30.033185
703,zip3,-90.803914,29.570091
704,zip3,-90.240186,30.641501
705,zip3,-92.152698,30.178285
706,zip3,-93.216625,30.341620
707,zip3,-91.214748,30.561643
708,zip3,-91.101323,30.442676
710,zip3,-93.401150,32.454700
711,zip3,-93.776370,32.479255
712,zip3,-91.954027,32.567263
713,zip3,-91.875653,31.441792
714,zip3,-92.859770,31.562547
716,zip3,-91.757927,33.608085
717,zip3,-92.784341,33.501002
718,zip3,-93.832979,33.643969
719,zip3,-93.623231,34.397353
720,zip3,-91.872845,34.886917
721,zip3,-92.137387,34.898280
722,zip3,-92.373886,34.705604
723,zip3,-90.585502,35.067205
724,zip3,-90.743875,36.035938
725,zip3,-91.796505,36.016438
726,zip3,-92.949036,36.125776
727,zip3,-94.072287,36.122089
728,zip3,-93.353472,35.302168
729,zip3,-94.088394,35.280716
730,zip3,-97.833811,35.286316
731,zip3,-97.500047,35.443972
734,zip3,-97.135096,34.199103
735,zip3,-98.785096,34.520502
736,zip3,-99.322462,35.512662
737,zip3,-98.169074,36.412335
738,zip3,-99.517505,36.513176
739,zip3,-101.668207,36.749081
740,zip3,-96.216701,36.336867
741,zip3,-95.945807,36.139857
743,zip3,-95.026366,36.557017
744,zip3,-95.447641,35.656860
745,zip3,-95.650717,34.644197
746,zip3,-97.041578,36.708114
747,zip3,-95.383645,34.036124
748,zip3,-96.668167,35.172568
749,zip3,-94.695317,35.184351
750,zip3,-96.722763,33.229791
751,zip3,-96.322708,32.474855
752,zip3,-96.806140,32.793739
754,zip3,-95.680959,33.366264
755,zip3,-94.445635,33.293694
756,zip3,-94.582805,32.478669
757,zip3,-95.372547,32.255085
758,zip3,-95.675057,31.451946
759,zip3,-94.307551,31.264993
760,zip3,-97.540685,32.597256
761,zip3,-97.386235,32.762684
762,zip3,-97.451610,33.522868
763,zip3,-98.973001,33.731938
764,zip3,-98.630336,32.619574
765,zip3,-97.571690,31.108167
766,zip3,-97.061667,31.707923
767,zip3,-97.147745,31.569884
768,zip3,-99.359584,31.211262
769,zip3,-100.936317,31.114446
770,zip3,-95.406959,29.795220
773,zip3,-95.269666,30.479953
774,zip3,-96.027741,29.417040
775,zip3,-94.980275,29.657976
776,zip3,-94.161899,30.200214
777,zip3,-94.229752,29.996347
778,zip3,-96.312424,30.678781
779,zip3,-96.977364,28.902743
780,zip3,-98.995939,28.575709
781,zip3,-97.927961,29.103277
782,zip3,-98.523085,29.465799
783,zip3,-98.054140,27.495916
784,zip3,-97.429849,27.701490
785,zip3,-98.129777,26.395195
786,zip3,-98.091351,30.290706
787,zip3,-97.806826,30.286020
788,zip3,-100.513760,29.532364
789,zip3,-96.887002,29.933185
790,zip3,-101.638614,35.486247
791,zip3,-101.890902,35.287271
792,zip3,-100.569979,34.225756
793,zip3,-102.193769,33.374890
794,zip3,-101.869121,33.582106
795,zip3,-100.342180,32.681458
796,zip3,-99.736146,32.427463
797,zip3,-102.703147,31.502563
798,zip3,-104.283129,30.618248
799,zip3,-106.220201,31.822271
800,zip3,-104.892525,39.809187
801,zip3,-104.475232,39.501750
802,zip3,-104.952012,39.768134
803,zip3,-105.302353,40.022322
804,zip3,-106.186116,40.036787
